Property,Value,Example Value,Description
prd,Ceramic docId,ceramic://bafy...,A link to a Profiles Routing Document (PRD) (CIP-N)
krd,Ceramic docId,ceramic://bafy...,A link to a Keychain Routing Document (KRD) (CIP-N)
ard,Ceramic docId,ceramic://bafy...,A link to an Accounts Routing Document (ARD) (CIP-N)
crd,Ceramic docId,ceramic://bafy...,A link to a Connections Routing Document (CRD) (CIP-N)
sord,Ceramic docId,ceramic://bafy...,A link to a Sources Routing Document (SORD) (CIP-N)
serd,Ceramic docId,ceramic://bafy...,A link to a Services Routing Document (SERD) (CIP-N)
acl,Ceramic docId,ceramic://bafy...,A link to an Access Control Document (CIP-N)
