Property,Value,Example Value,Description
profiles,Ceramic docId,ceramic://bafy,A link to a [Profiles Routing Document (PRD) (CIP-N)]()
keychain,Ceramic docId,ceramic://bafy,A link to a [Keychain Routing Document (KRD) (CIP-N)]()
accounts,Ceramic docId,ceramic://bafy,A link to an [Accounts Routing Document (ARD) (CIP-N)]()
connections,Ceramic docId,ceramic://bafy,A link to a [Connections Routing Document (CRD) (CIP-N)]()
sources,Ceramic docId,ceramic://bafy,A link to a [Sources Routing Document (SORD) (CIP-N)]()
services,Ceramic docId,ceramic://bafy,A link to a [Services Routing Document (SERD) (CIP-N)]()
acl,Ceramic docId,ceramic://bafy,A link to an [Access Control Document (CIP-N)]()
